FOLIO,INGRESO,SEM. INSCRITOS,CARRERA,ESTADO PREPA,PROM. PREPA,PROM. ITAM,REPRO.,BAJAS
72,199903,9,ACT,D.F,10.00,08.43,0,1
73,199903,7,M.A,D.F,9.38,09.77,0,0
74,199903,8,M.A,D.F,8.81,09.30,0,0
75,199903,10,ECO,D.F,9.13,08.50,0,0
76,199903,10,DER,D.F,7.31,08.75,2,1
77,199903,9,ECO,D.F,9.70,08.30,1,1
78,199903,11,ADM,D.F,7.81,07.83,10,2
79,199903,10,ADM,D.F,7.60,07.68,3,4
80,199903,15,DER,D.F,8.75,07.95,8,5
81,199903,9,ADM,D.F,9.50,08.40,0,0
82,199903,8,ADM,D.F,9.55,09.30,0,1
83,200003,14,R.I,D.F,8.71,07.52,10,9
84,199903,9,DER,MIC,8.20,08.75,2,5
85,199903,9,ECO,EME,9.85,09.35,0,0
86,200001,9,ADM,D.F,9.08,08.19,2,3
87,199903,15,TEL,D.F,8.38,07.36,10,7
88,199903,11,R.I,MOR,9.60,08.46,2,6
89,199903,12,ACF,D.F,7.67,07.83,2,1
90,200001,9,DER,D.F,8.95,08.85,0,1
91,199903,12,ECO,SLP,9.40,07.64,10,10
92,200001,8,ADM,D.F,8.75,08.38,0,1
93,199903,24,ECO,D.F,7.31,07.70,26,14
94,199903,11,ACF,D.F,8.88,08.85,0,0
95,199903,12,R.I,D.F,9.36,07.92,2,9
96,199903,13,ADM,D.F,8.92,07.81,5,9
97,199903,14,ADM,EME,8.60,07.98,9,4
98,199903,12,DER,D.F,8.90,07.40,5,0
99,199903,10,ECO,D.F,9.78,09.33,0,0
100,199903,9,ADM,D.F,10.00,09.15,0,0
101,199903,10,ACT,D.F,9.65,07.98,2,1
102,199903,14,ECO,D.F,8.25,07.60,7,2
103,199903,9,ECO,EME,8.22,09.63,0,1
104,199903,8,ADM,D.F,9.04,08.23,3,2
105,199903,12,CPL,TAB,9.73,08.16,7,9
106,199903,10,ECO,EME,8.60,07.65,3,2
107,199903,10,DER,D.F,9.31,09.18,0,0
108,199903,10,ADM,D.F,8.56,07.94,2,2
109,199903,9,M.A,D.F,9.81,08.96,0,1
110,199903,11,R.I,D.F,8.66,08.58,0,7
111,199903,10,DER,D.F,9.13,08.64,3,3
112,199903,10,DER,D.F,8.70,08.82,0,0
113,199903,10,ACT,D.F,9.19,07.72,4,2
114,200001,9,DER,D.F,7.40,08.61,2,0
115,199903,13,ACT,EME,8.69,07.30,10,6
116,199903,17,ADM,D.F,07.70,07.04,12,9
117,199903,14,ADM,D.F,8.03,07.30,9,10
118,199903,11,ACF,D.F,9.22,08.32,4,0
119,199903,12,ECO,GRO,9.81,07.39,8,3
120,199903,10,ACT,D.F,8.95,08.00,0,3
121,199903,9,ECO,EME,7.50,07.61,1,0
122,199903,12,ACT,D.F,9.50,07.36,5,5
123,199903,14,COM,D.F,9.35,08.20,5,5
124,199903,10,M.A,D.F,9.14,08.15,0,2
125,199903,11,CEF,GRO,9.95,07.72,0,3
126,199903,10,R.I,D.F,9.34,08.92,0,3
127,199903,11,R.I,D.F,9.74,08.60,0,0
128,199903,10,ECO,D.F,9.96,09.54,0,0
129,199903,9,CEF,D.F,8.86,08.43,0,1
130,199903,13,ACT,D.F,9.88,07.52,9,5
131,199903,11,ECO,D.F,6.81,07.61,3,4
132,199903,10,ECO,D.F,10.00,09.43,0,1
133,199903,10,TEL,D.F,8.48,08.65,1,0
134,199903,9,ADM,D.F,9.25,08.55,0,1
135,200203,8,R.I,D.F,8.56,08.45,4,0
136,200103,13,EPL,D.F,8.49,08.26,7,6
137,199903,11,ECO,D.F,7.20,07.15,3,8
138,199903,11,R.I,D.F,8.40,08.23,1,2
139,199903,9,ACT,D.F,9.81,08.85,0,1
140,199903,10,ADM,D.F,9.20,07.87,4,2
141,200001,9,ECO,D.F,9.70,08.78,0,1
142,199903,10,ADM,D.F,9.60,08.68,0,5
143,199903,8,IND,D.F,9.86,08.96,0,1
144,199903,11,ADM,D.F,7.76,07.32,4,5
145,199903,11,CEF,EME,9.10,08.19,3,2
146,199903,10,ECO,EME,8.50,09.17,0,0
147,199903,8,M.A,D.F,9.72,08.66,0,1
148,199903,10,IND,D.F,7.47,08.06,6,7
149,199903,11,ECO,EME,09.59,08.81,0,3
150,199903,11,DER,EME,8.03,07.76,2,3
151,199903,12,TEL,EME,9.86,07.96,8,6
152,199903,11,ADM,D.F,7.80,08.09,3,2
153,199903,10,TEL,D.F,7.58,07.98,4,2
154,199903,10,TEL,D.F,8.17,08.54,1,0
155,199903,10,DER,D.F,8.56,08.65,2,1
156,199903,10,DER,D.F,8.22,08.45,2,0
157,199903,10,ADM,D.F,9.25,08.30,3,7
158,199903,10,M.A,D.F,8.04,07.67,1,1
159,199903,12,DER,D.F,7.72,08.24,2,2
160,199903,11,ACF,D.F,8.29,08.69,0,1
161,199903,14,DER,D.F,8.66,07.75,6,8
162,199903,13,ACT,CHS,9.48,08.56,3,6
163,199903,9,DER,D.F,9.52,09.20,0,0
164,199903,10,ECO,MOR,8.20,07.89,3,2
165,199903,17,EPL,D.F,8.08,07.77,12,4
166,199903,10,ADM,D.F,9.80,08.77,0,3
167,199903,10,ADM,D.F,10.00,08.26,1,4
168,199903,11,ADM,JAL,9.80,07.30,4,9
169,199903,11,TEL,D.F,8.81,08.78,2,2
170,199903,12,R.I,D.F,8.28,07.67,3,1
171,199903,9,CPL,D.F,7.09,07.80,0,2
172,199903,11,ADM,D.F,7.19,07.28,6,6
173,199903,9,ADM,D.F,8.30,07.92,0,4
174,199903,9,ADM,EME,9.89,09.13,0,1
175,199903,9,COM,EME,8.20,08.57,0,2
176,199903,13,ADM,D.F,9.74,08.61,0,9
177,199903,14,ACT,D.F,9.04,07.47,11,6
178,199903,12,ADM,D.F,9.63,08.09,4,16
179,199903,14,TEL,D.F,9.03,07.72,12,15
180,199903,9,ACT,D.F,9.76,08.47,1,2
181,199903,11,ECO,D.F,8.20,07.26,6,3
182,199903,11,DER,D.F,7.54,08.02,4,7
183,199903,9,ADM,D.F,9.79,08.17,0,2
184,199903,13,ACT,D.F,9.12,07.47,10,9
185,199903,10,DER,D.F,8.80,08.93,1,6
186,199903,14,ADM,D.F,10.00,08.28,5,8
187,199903,11,R.I,D.F,8.46,08.69,2,0
188,199903,9,ECO,QRO,9.78,09.63,0,3
189,199903,12,ADM,EME,8.12,07.53,6,0
190,199903,17,ADM,EME,7.44,07.23,17,13
191,199903,9,ACT,D.F,9.32,08.43,0,2
192,199903,13,ECO,D.F,7.68,07.54,8,5
193,199903,9,ADM,D.F,7.90,08.04,0,3
194,200003,11,COM,EME,8.20,07.78,2,3
195,199903,10,M.A,D.F,9.88,08.26,1,4
196,199903,10,ACF,D.F,9.96,09.60,0,0
197,199903,9,M.A,D.F,9.75,09.62,0,0
198,200003,12,R.I,D.F,7.42,08.09,6,0
199,199903,10,ADM,D.F,9.69,08.06,2,1
200,200001,10,DER,D.F,9.40,09.27,0,1
201,199903,16,ECO,D.F,7.62,07.09,11,6
202,199903,9,ECO,D.F,8.85,09.20,0,0
203,199903,9,ECO,D.F,9.86,08.43,1,0
204,199903,11,ACF,D.F,8.19,08.45,1,3
205,199903,10,DER,D.F,9.38,08.53,2,0
206,199903,12,TEL,D.F,9.46,08.54,2,1
207,199903,11,ACF,,8.56,07.73,2,2
208,199903,9,ECO,D.F,9.70,08.11,0,1
209,200001,10,CEF,D.F,8.72,08.74,0,1
210,199903,10,ACT,D.F,9.24,08.49,0,1
211,199903,15,ECO,D.F,6.21,06.96,15,9
212,199903,10,ACF,D.F,9.26,08.73,0,0
213,199903,14,TEL,D.F,9.10,07.32,9,5
214,199903,12,ECO,D.F,7.69,07.13,8,4
215,199903,9,ADM,D.F,7.25,07.92,1,2
216,199903,10,ECO,D.F,7.94,07.76,4,1
217,199903,10,ECO,D.F,9.50,08.11,0,3
218,199903,12,DER,D.F,8.15,07.78,8,2
219,200003,9,ECO,EME,9.79,08.33,0,0
220,199903,9,ECO,CHI,9.90,08.26,0,1
221,199903,9,ECO,D.F,9.17,08.78,0,2
222,199903,9,ECO,D.F,9.94,09.28,0,0
223,199903,10,ACF,CHS,9.39,08.00,0,1
224,199903,12,ADM,D.F,8.40,07.38,15,5
225,199903,9,CPL,D.F,9.96,09.31,0,0
226,199903,11,ADM,D.F,8.24,08.00,5,0
227,199903,9,DER,D.F,9.56,08.85,0,0
228,199903,11,ADM,EME,10.00,08.98,0,15
229,199903,10,DER,D.F,8.33,08.31,2,0
230,199903,10,ECO,D.F,8.24,08.20,0,0
231,199903,10,ACT,D.F,9.65,07.79,3,2
232,199903,15,CEF,D.F,8.10,07.48,10,8
233,199903,11,ADM,D.F,7.33,07.31,3,5
234,200001,15,CEF,D.F,8.00,08.02,0,2
235,199903,17,IND,D.F,9.88,08.38,1,4
236,199903,16,ADM,TAB,9.10,07.21,17,9
237,199903,10,ACF,D.F,9.57,08.51,0,1
238,199903,11,TEL,D.F,9.60,08.21,1,2
239,199903,12,M.A,D.F,9.80,08.10,2,7
240,199903,12,COM,D.F,8.86,08.39,4,5
241,199903,11,ECO,D.F,8.36,07.83,5,5
242,199903,10,ECO,D.F,9.33,08.46,0,2
243,199903,9,ECO,HGO,9.10,08.57,3,0
244,199903,11,COM,EME,9.32,08.82,1,4
245,199903,10,ACT,D.F,9.97,08.47,1,2
246,199903,10,IND,D.F,9.97,09.44,0,0
247,199903,10,COM,D.F,9.06,08.75,1,1
248,199903,10,ECO,D.F,8.20,08.22,2,5
249,199903,16,TEL,D.F,8.30,07.66,11,12
250,199903,10,ECO,MOR,7.90,07.65,4,2
251,199903,11,ACT,VER,9.86,09.63,0,0
252,199903,11,CPL,D.F,8.60,08.09,1,2
253,199903,13,ADM,D.F,9.44,07.72,7,7
254,199903,12,ADM,D.F,9.02,07.66,5,5
255,199903,9,ADM,D.F,9.89,09.04,0,2
256,199903,13,ADM,D.F,8.38,07.55,4,5
257,200003,10,DER,D.F,8.87,08.15,3,2
258,199903,13,ADM,MIC,7.64,07.26,12,6
259,199903,12,DER,D.F,6.97,07.53,10,2
260,199903,10,ECO,EME,8.95,08.17,1,2
261,199903,12,ADM,D.F,8.50,07.81,2,3
262,199903,9,ACT,D.F,9.54,07.87,1,1
263,199903,11,ADM,D.F,9.90,08.00,4,5
264,199903,13,R.I,D.F,9.10,08.18,1,0
265,199903,9,CPL,D.F,7.50,08.38,1,0
266,199903,10,ADM,D.F,9.70,08.23,2,0
267,199903,12,R.I,D.F,9.59,07.94,7,2
268,199903,11,M.A,D.F,9.90,09.10,0,1
269,200001,10,M.A,D.F,8.57,08.45,0,3
270,199903,11,ADM,D.F,7.80,07.49,2,5
271,199903,11,ECO,TAB,9.27,08.33,1,2
272,199903,12,R.I,PUE,8.79,08.12,2,3
273,199903,10,IND,D.F,9.26,08.67,0,2
274,199903,8,ADM,D.F,9.00,08.19,1,1
275,199903,17,CPL,YUC,8.30,07.89,11,15
276,199903,14,M.A,D.F,9.34,07.96,3,9
277,200001,12,R.I,YUC,8.83,08.48,1,1
278,199903,10,R.I,D.F,8.80,07.78,8,5
279,199903,20,ADM,D.F,9.36,07.30,25,24
280,199903,12,IND,D.F,9.75,08.38,1,9
281,199903,13,IND,D.F,7.38,07.40,6,5
282,200003,9,ECO,D.F,8.80,08.96,0,0
283,199903,10,TEL,MIC,8.31,08.24,1,2
284,199903,9,R.I,D.F,9.48,08.88,0,0
285,200003,13,ECO,D.F,8.47,07.20,7,7
286,199903,9,ECO,EME,9.31,08.85,0,0
287,199903,9,ECO,CHS,9.90,08.70,0,0
288,199903,8,ADM,D.F,9.49,08.34,0,0
289,199903,9,ADM,EME,09.54,08.32,1,1
290,199903,13,DER,CHI,9.30,07.71,10,2
291,199903,10,R.I,EME,9.40,08.67,0,0
292,199903,10,M.A,D.F,9.71,08.15,2,2
293,199903,13,TEL,D.F,8.40,07.23,6,9
294,199903,11,ACT,D.F,8.78,08.17,7,1
295,200001,11,ACF,D.F,7.52,08.82,0,5
296,200001,11,CPL,D.F,9.09,08.13,3,5
297,199903,16,CEF,D.F,9.02,07.61,5,5
298,199903,11,DER,D.F,8.29,08.09,4,2
299,199903,10,M.A,EME,9.25,08.42,2,3
300,199903,10,R.I,D.F,9.49,08.85,0,2
301,199903,11,ACT,D.F,7.02,07.21,11,2
302,200001,9,M.A,D.F,9.10,08.06,0,2
303,199903,11,ADM,D.F,9.00,07.91,3,4
304,199903,9,DER,D.F,8.08,08.29,1,0
305,199903,14,ECO,D.F,7.50,06.89,15,6
306,199903,13,ECO,COA,9.35,08.92,1,14
307,199903,11,R.I,D.F,6.86,07.92,1,2
308,199903,13,M.A,D.F,7.79,07.19,14,13
309,199903,13,R.I,,8.26,07.94,4,10
310,199903,10,DER,D.F,8.30,08.18,0,1
311,199903,11,ECO,,9.40,08.00,2,1
312,199903,13,IND,EME,8.96,07.74,9,7
313,199903,13,DER,D.F,8.31,08.20,5,3
314,199903,10,CEF,EME,9.65,08.54,0,2
315,199903,11,DER,D.F,7.87,08.36,2,2
316,199903,12,ADM,D.F,7.96,07.57,0,15
317,199903,15,ADM,EME,8.21,07.40,15,6
318,199903,15,TEL,D.F,8.77,07.75,12,11
319,199903,10,TEL,D.F,8.99,08.13,4,0
320,199903,14,ADM,D.F,8.70,07.06,11,4
321,199903,9,IND,D.F,9.23,09.00,0,1
322,200003,9,ADM,D.F,7.73,08.38,1,0
323,199903,14,ADM,D.F,8.86,07.84,10,12
324,199903,16,ACT,D.F,9.77,07.49,11,4
325,199903,12,R.I,D.F,8.49,07.96,1,7
326,199903,16,DER,OAX,07.03,07.52,10,4
327,199903,12,ACT,D.F,8.23,07.38,10,11
328,199903,10,ECO,D.F,9.53,08.41,0,0
329,199903,20,CEF,D.F,8.08,06.80,24,16
330,199903,12,ACT,QRO,9.39,07.38,8,7
331,199903,10,DER,D.F,8.87,08.45,2,0
332,199903,13,ECO,D.F,8.26,07.24,8,4
333,199903,10,CPL,D.F,8.40,07.80,2,1
334,199903,10,DER,D.F,8.78,07.84,1,1
335,199903,11,ACT,D.F,9.31,08.28,0,4
336,199903,10,ADM,EME,8.23,07.94,1,5
337,199903,9,CEF,MOR,9.60,09.35,0,0
338,199903,10,ACT,D.F,9.54,07.64,4,1
339,199903,13,ACF,D.F,9.75,08.28,2,2
340,199903,16,CEF,D.F,7.56,07.28,14,7
341,199903,11,CEF,D.F,09.60,08.61,2,2
342,199903,13,CEF,D.F,7.34,07.09,7,11
343,199903,12,ADM,D.F,9.82,08.00,4,5
344,199903,14,ADM,D.F,8.54,07.51,14,4
345,199903,10,DER,D.F,9.64,08.36,0,1
346,199903,10,ECO,EME,8.85,07.78,1,1
347,199903,11,DER,B.C,9.10,07.98,4,4
348,199903,17,ECO,TAM,8.73,06.67,20,15
349,199903,15,ACT,EME,8.56,07.28,13,9
350,199903,13,ADM,D.F,6.40,06.64,10,7
351,199903,9,ECO,D.F,9.10,08.46,0,0
352,199903,14,ACT,D.F,9.08,07.89,8,7
353,199903,12,R.I,D.F,8.80,08.33,1,7
354,199903,10,ECO,EME,9.93,08.89,1,2
355,199903,10,R.I,MIC,9.10,08.21,0,1
356,199903,12,ADM,EME,9.44,07.55,4,8
357,199903,9,ADM,D.F,9.20,08.16,1,3
358,199903,11,ACT,D.F,9.60,09.32,0,2
359,199903,9,DER,JAL,9.50,09.09,0,0
360,199903,16,TEL,D.F,6.73,07.50,16,5
361,199903,13,R.I,D.F,7.90,07.60,2,11
362,199903,10,ADM,D.F,8.57,08.09,2,0
363,199903,9,COM,D.F,9.52,08.91,1,0
364,200003,11,DER,VER,9.80,08.52,2,6
365,199903,12,IND,D.F,8.57,08.04,6,7
366,199903,10,ECO,D.F,9.50,09.17,0,2
367,199903,16,ECO,D.F,7.23,07.11,12,9
368,199903,10,DER,D.F,8.00,08.47,4,4
369,199903,14,IND,D.F,09.32,07.69,5,17
370,199903,7,IND,D.F,8.00,08.42,2,1
371,200003,10,DER,,9.30,08.44,1,5
372,199903,9,ADM,D.F,9.12,07.89,1,5
373,199903,13,DER,OAX,7.60,08.75,3,6
374,199903,15,ADM,D.F,9.72,08.02,13,11
375,200001,12,CPL,D.F,8.02,07.56,4,4
376,199903,15,COM,D.F,9.24,07.80,7,8
377,199903,12,ACF,D.F,9.29,07.57,3,2
378,199903,12,R.I,D.F,9.54,09.10,0,3
379,200003,12,ECO,QRO,8.09,07.57,11,5
380,199903,14,ACF,D.F,9.4,07.84,4,6
381,199903,8,ACT,D.F,8.80,07.98,1,2
382,199903,11,DER,D.F,7.60,08.13,5,3
383,199903,11,CEF,D.F,9.51,09.07,0,2
384,199903,10,DER,D.F,8.46,08.11,3,3
385,199903,10,ACT,EME,8.23,07.96,3,4
386,199903,10,ECO,PUE,9.99,08.57,0,0
387,199903,8,ECO,D.F,9.01,08.89,0,0
388,199903,13,CPL,D.F,7.88,07.91,5,5
389,199903,9,DER,D.F,7.25,07.98,2,1
390,199903,8,ADM,D.F,8.96,08.38,0,0
391,199903,12,R.I,D.F,9.75,08.65,3,3
392,199903,16,ECO,PUE,8.44,06.76,20,14
393,199903,10,ECO,D.F,9.70,09.41,0,0
394,199903,17,IND,D.F,8.69,07.42,12,11
395,200001,14,ADM,TAB,8.90,07.89,7,13
396,199903,12,R.I,D.F,09.44,08.29,3,2
397,199903,10,ECO,D.F,9.27,07.87,2,1
398,199903,12,ADM,D.F,7.34,07.47,3,6
399,199903,11,CEF,D.F,8.70,07.67,3,2
400,199903,12,DER,D.F,7.78,07.65,9,8
401,199903,11,ACF,D.F,8.57,08.07,2,2
402,199903,8,ECO,D.F,9.09,08.37,0,0
403,199903,9,ACT,HGO,9.55,08.81,1,1
404,199903,10,TEL,TAM,7.03,07.53,3,5
405,199903,10,TEL,OAX,10.00,09.15,1,0
406,199903,11,R.I,EME,8.70,08.62,0,1
407,199903,10,ADM,D.F,9.20,08.11,4,3
408,199903,8,DER,SIN,9.31,08.27,0,0
409,200001,11,R.I,D.F,9.50,07.92,1,1
410,199903,12,ADM,D.F,8.08,07.55,5,5
411,199903,10,M.A,EME,08.42,07.55,3,6
412,199903,12,ADM,D.F,7.40,07.23,6,3
413,199903,10,DER,EME,8.14,08.47,4,5
414,199903,7,DER,VER,8.60,08.38,4,6
415,199903,13,CEF,EME,9.56,08.61,4,13
416,199903,12,ECO,D.F,7.78,07.52,7,7
417,199903,13,ACT,D.F,9.84,07.51,11,3
418,199903,12,ECO,D.F,9.19,07.67,1,6
419,199903,9,ECO,EME,9.70,07.96,0,0
420,199903,11,ADM,D.F,8.00,07.89,8,4
421,199903,19,CEF,D.F,9.07,07.20,17,13
422,199903,16,DER,D.F,8.76,07.45,11,4
423,199903,10,ADM,D.F,9.12,08.68,0,1
424,199903,10,ECO,D.F,9.88,08.35,4,2
425,199903,10,M.A,D.F,9.98,08.23,3,6
426,199903,13,CPL,OAX,06.84,07.67,5,8
427,199903,12,R.I,D.F,8.00,07.69,8,1
428,199903,10,R.I,D.F,8.84,08.08,1,0
429,199903,7,ACT,D.F,8.50,07.89,3,3
430,199903,11,ECO,D.F,9.44,08.67,1,6
431,199903,15,DER,D.F,6.76,08.00,9,3
432,199903,16,COM,D.F,6.24,07.36,13,14
433,199903,13,IND,D.F,7.77,07.90,2,8
434,199903,10,TEL,D.F,9.47,09.02,0,2
435,199903,12,TEL,D.F,8.52,08.17,1,3
436,199903,14,COM,HGO,7.00,07.89,10,6
437,199903,8,DER,D.F,9.64,09.36,0,0
438,199903,15,DER,D.F,7.20,07.80,10,7
439,200001,11,DER,D.F,8.60,08.22,0,1
440,199903,10,ADM,D.F,8.00,07.38,4,1
441,200001,17,ADM,YUC,8.00,07.09,15,9
442,199903,14,DER,EME,8.62,07.95,2,4
443,199903,13,CPL,CHS,7.87,07.24,13,10
444,199903,12,DER,COL,9.20,07.84,5,3
445,199903,16,CEF,D.F,8.08,07.13,15,10
446,199903,11,DER,AGS,7.52,08.09,2,3
447,199903,12,TEL,D.F,9.00,08.26,3,3
448,199903,11,CPL,D.F,7.75,07.93,5,3
449,199903,15,DER,PUE,8.60,07.73,9,5
450,199903,11,COM,D.F,9.30,08.11,1,1
451,200003,11,DER,D.F,7.95,07.78,4,1
452,199903,14,R.I,D.F,6.54,07.31,8,4
453,199903,15,R.I,EME,8.94,07.67,12,3
454,199903,10,IND,D.F,8.88,09.21,0,2
455,199903,9,M.A,D.F,8.72,09.50,0,2
456,199903,8,ACT,VER,9.62,09.06,0,1
457,199903,9,ADM,GRO,9.53,07.64,1,1
458,199903,10,ADM,D.F,9.95,08.77,0,3
459,199903,10,ACT,EME,9.60,08.43,2,2
460,199903,13,R.I,D.F,9.26,08.06,0,6
461,199903,16,ADM,GRO,8.54,07.30,11,14
462,199903,11,ADM,MIC,9.07,08.76,0,7
463,199903,9,M.A,D.F,8.50,08.62,0,0
464,199903,9,ADM,D.F,8.51,07.74,0,2
465,199903,12,ADM,EME,9.10,08.18,1,12
466,199903,13,TEL,JAL,7.74,08.15,3,3
467,199903,15,CEF,D.F,9.31,07.89,6,6
468,199903,10,IND,D.F,8.44,08.88,1,1
469,199903,15,ADM,SIN,7.60,06.77,10,9
470,199903,12,ADM,D.F,7.44,07.64,4,9
471,199903,11,ECO,D.F,9.50,08.41,3,2
472,199903,10,DER,D.F,9.45,08.67,0,1
473,199903,10,ADM,D.F,9.75,09.00,0,0
474,199903,12,ECO,SON,9.80,08.48,5,8
475,199903,11,ECO,GTO,9.20,07.65,4,2
476,199903,8,M.A,D.F,9.13,08.72,1,2
477,199903,11,COM,D.F,7.26,08.18,2,2
478,200001,12,DER,,8.00,08.27,4,9
479,199903,7,ECO,D.F,9.30,08.22,1,1
480,199903,11,DER,MIC,7.40,08.22,4,0
481,199903,13,ECO,ZAC,8.73,07.89,14,7
482,199903,14,ECO,D.F,9.91,07.89,4,4
483,200003,11,ECO,MOR,8.70,07.15,7,7
484,199903,11,ECO,D.F,7.76,07.48,3,7
485,199903,9,DER,D.F,9.08,08.62,0,0
486,199903,15,ACF,D.F,9.60,07.97,3,5
487,199903,10,ACT,D.F,8.73,08.15,0,3
488,199903,14,ECO,D.F,9.20,07.98,5,3
489,199903,12,R.I,ZZZ,08.56,07.63,7,5
490,199903,10,ECO,D.F,8.00,08.76,1,3
491,199903,13,TEL,D.F,8.20,08.48,7,5
492,199903,12,ACT,D.F,8.32,07.66,11,11
493,199903,14,ECO,ZAC,7.74,07.17,18,6
494,199903,11,DER,JAL,8.12,08.38,3,7
495,199903,11,ACT,D.F,9.96,08.32,1,9
496,199903,14,TEL,B.C,9.10,07.54,7,5
497,199903,7,M.A,D.F,9.84,09.11,0,2
498,199903,10,CEF,MIC,8.80,08.63,1,0
499,199903,13,TEL,D.F,9.20,08.06,5,11
500,199903,10,DER,D.F,7.40,08.80,5,3
501,199903,9,ADM,D.F,7.87,07.77,1,0
502,199903,9,ACT,D.F,8.90,09.06,0,0
503,199903,15,TEL,D.F,7.60,07.65,13,12
504,199903,12,R.I,PUE,9.71,08.75,0,4
505,199903,12,ECO,D.F,7.70,07.48,13,6
506,199903,12,CPL,D.F,7.00,07.70,5,3
507,199903,15,ACT,SLP,8.50,07.45,10,10
508,200003,10,CPL,D.F,7.79,07.80,4,2
509,199903,14,ADM,D.F,8.20,07.30,10,9
510,199903,13,ACT,D.F,9.10,07.81,11,4
511,199903,14,CPL,MOR,8.70,07.56,4,4
512,199903,11,IND,D.F,9.47,08.31,2,3
513,199903,18,ACF,D.F,7.20,07.05,19,11
514,199903,9,TEL,D.F,7.04,08.55,1,5
515,199903,5,DER,EME,8.80,09.11,0,0
516,200001,11,M.A,D.F,8.28,08.13,2,1
517,199903,12,TEL,EME,8.54,07.88,1,2
518,199903,12,R.I,VER,9.70,08.13,2,8
519,200001,13,R.I,D.F,9.47,07.52,4,13
